Disease,Method,K,Precision,Recall,F1
C0036341_Schizophrenia,XGDAG - GraphSVX,750,0.21333333333333335,0.09340338587273789,0.12992285830288267
C0036341_Schizophrenia,XGDAG - GraphSVX,1000,0.197,0.11500291885580852,0.14522668632510136
C0036341_Schizophrenia,XGDAG - GraphSVX,1500,0.178,0.15586690017513136,0.1661998132586368
C0036341_Schizophrenia,XGDAG - GraphSVX,2000,0.1635,0.19089316987740806,0.17613789388634526
C0036341_Schizophrenia,XGDAG - GraphSVX,2500,0.1528,0.2230005837711617,0.18134346071682886
C0036341_Schizophrenia,XGDAG - GraphSVX,3000,0.15133333333333332,0.26503210741389377,0.19265860386165923
C0036341_Schizophrenia,DIAMOnD,25,0.36,0.005253940455341506,0.010356731875719219
C0036341_Schizophrenia,DIAMOnD,50,0.28,0.008172796263864565,0.01588201928530913
C0036341_Schizophrenia,DIAMOnD,100,0.29,0.016929363689433742,0.0319911748483177
C0036341_Schizophrenia,DIAMOnD,200,0.305,0.03561004086398132,0.06377417668583377
C0036341_Schizophrenia,DIAMOnD,500,0.224,0.06538237011091652,0.10122006326253954
C0036341_Schizophrenia,DIAMOnD,750,0.18666666666666668,0.08172796263864565,0.11368250101502234
C0036341_Schizophrenia,DIAMOnD,1000,0.16,0.09340338587273789,0.11795060818282344
C0036341_Schizophrenia,DIAMOnD,1500,0.142,0.1243432574430823,0.1325863678804855
C0036341_Schizophrenia,DIAMOnD,2000,0.14,0.1634559252772913,0.15082143819014274
C0036341_Schizophrenia,DIAMOnD,2500,0.1364,0.19906596614127262,0.1618798955613577
C0036341_Schizophrenia,DIAMOnD,3000,0.11666666666666667,0.20431990659661411,0.14852535539995756
C0036341_Schizophrenia,MCL,25,0.32,0.004670169293636894,0.009205983889528193
C0036341_Schizophrenia,MCL,50,0.26,0.007589025102159953,0.01474758933635848
C0036341_Schizophrenia,MCL,100,0.24,0.014010507880910683,0.026475455046883617
C0036341_Schizophrenia,MCL,200,0.16,0.018680677174547577,0.0334553058024046
C0036341_Schizophrenia,MCL,500,0.104,0.030356100408639813,0.04699502937189335
C0036341_Schizophrenia,MCL,750,0.06933333333333333,0.030356100408639813,0.042224928948436866
C0036341_Schizophrenia,MCL,1000,0.052,0.030356100408639813,0.03833394765941762
C0036341_Schizophrenia,MCL,1500,0.034666666666666665,0.030356100408639813,0.03236850295673825
C0036341_Schizophrenia,MCL,2000,0.026,0.030356100408639813,0.028009695663883654
C0036341_Schizophrenia,MCL,2500,0.0208,0.030356100408639813,0.024685497270353667
C0036341_Schizophrenia,MCL,3000,0.017333333333333333,0.030356100408639813,0.02206662423085084
C0036341_Schizophrenia,RWR,25,0.2,0.002918855808523059,0.005753739930955121
C0036341_Schizophrenia,RWR,50,0.2,0.005837711617046118,0.011344299489506523
C0036341_Schizophrenia,RWR,100,0.14,0.008172796263864565,0.015444015444015444
C0036341_Schizophrenia,RWR,200,0.135,0.01576182136602452,0.028227914270778882
C0036341_Schizophrenia,RWR,500,0.12,0.03502626970227671,0.054225033890646174
C0036341_Schizophrenia,RWR,750,0.144,0.06304728546409807,0.08769792935444579
C0036341_Schizophrenia,RWR,1000,0.142,0.08289550496205488,0.10468116476225581
C0036341_Schizophrenia,RWR,1500,0.14266666666666666,0.12492702860478692,0.13320883909119202
C0036341_Schizophrenia,RWR,2000,0.1365,0.159369527145359,0.14705090223538916
C0036341_Schizophrenia,RWR,2500,0.1344,0.19614711033274956,0.15950629005459294
C0036341_Schizophrenia,RWR,3000,0.12866666666666668,0.22533566841798014,0.1638022490982389
C0036341_Schizophrenia,XG-PUL,25,0.88,0.01284296555750146,0.02531645569620253
C0036341_Schizophrenia,XG-PUL,50,0.84,0.024518388791593695,0.0476460578559274
C0036341_Schizophrenia,XG-PUL,100,0.73,0.04261529480443666,0.08052950910093767
C0036341_Schizophrenia,XG-PUL,200,0.61,0.07122008172796264,0.12754835337166753
C0036341_Schizophrenia,XG-PUL,500,0.482,0.14068884997081144,0.21780388612742885
C0036341_Schizophrenia,XG-PUL,750,0.4106666666666667,0.17980151780502043,0.2501015022330491
C0036341_Schizophrenia,XG-PUL,1000,0.382,0.2230005837711617,0.28160707703649096
C0036341_Schizophrenia,XG-PUL,1500,0.312,0.2732049036777583,0.2913165266106443
C0036341_Schizophrenia,XG-PUL,2000,0.285,0.3327495621716287,0.3070293563156477
C0036341_Schizophrenia,XG-PUL,2500,0.258,0.37653239929947463,0.306195110372656
C0036341_Schizophrenia,XG-PUL,3000,0.23866666666666667,0.417980151780502,0.3038404413324846
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,25,0.72,0.005344418052256532,0.010610079575596816
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,50,0.66,0.009798099762470308,0.019309537741369225
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,100,0.65,0.019299287410926364,0.03748558246828143
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,200,0.625,0.03711401425178147,0.07006726457399103
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,500,0.532,0.07897862232779097,0.1375387797311272
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,750,0.5,0.11134204275534441,0.1821272462360369
C0376358_Malignant_neoplasm_of_prostate,XGDAG - GNNExplainer,1000,0.474,0.14073634204275534,0.21703296703296704
